Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,435626514,5588.867257541388,10639073,136.4939112505273,1200287,5952215,76.36389993320451,59091,0.7581075634789728,7082,
United States of America,Americas,78212580,23628.989,426966,128.992,26041,941112,284.322,13590,4.106,1162
India,South-East Asia,42931045,3110.935,79116,5.733,6915,514023,37.248,1679,0.122,180
Brazil,Americas,28768104,13534.147,559892,263.405,24054,649134,305.389,4848,2.281,221
France,Europe,22032795,33876.095,382460,588.044,1094,135262,207.969,1305,2.006,183
The United Kingdom,Europe,18886705,27821.206,232644,342.698,82451,161361,237.694,752,1.108,138
Russian Federation,Europe,16495369,11303.272,837441,573.847,97333,352446,241.51,5415,3.711,786
Germany,Europe,14867218,17876.405,1104323,1327.843,122111,122937,147.82,1334,1.604,235
Turkey,Europe,14088565,16704.673,499945,592.78,64275,94445,111.983,1726,2.047,213
Italy,Europe,12782836,21432.792,288377,483.517,18278,154767,259.496,1577,2.644,207
Spain,Europe,10977527,23192.311,104276,220.305,3688,99410,210.024,326,0.689,4
Argentina,Americas,8900656,19693.558,61982,137.141,3478,126152,279.123,701,1.551,32
Iran (Islamic Republic of),Eastern Mediterranean,7051429,8395.263,89867,106.994,10962,136838,162.916,1562,1.86,207
Netherlands,Europe,6361626,36545.138,243941,1401.349,28904,21554,123.82,65,0.373,6
Colombia,Americas,6062701,11915.009,15659,30.775,1908,138693,272.573,587,1.154,95
Poland,Europe,5680034,14963.943,97817,257.697,12980,111586,293.971,1429,3.765,269
Indonesia,South-East Asia,5589176,2043.398,299762,109.593,24728,148660,54.35,1862,0.681,325
Mexico,Americas,5506105,4270.525,92680,71.882,3519,318086,246.707,2398,1.86,72
Japan,Western Pacific,5005892,3957.963,465236,367.844,51272,23633,18.686,1633,1.291,363
Ukraine,Europe,4842143,11071.866,83370,190.631,6667,106129,242.671,1197,2.737,181
South Africa,Africa,3674042,6194.779,14344,24.185,785,99412,167.618,608,1.025,183
Philippines,Western Pacific,3661997,3341.815,8732,7.969,951,56451,51.515,688,0.628,50
Israel,Europe,3636507,42013.63,66105,763.73,8372,10204,117.89,138,1.594,10
Czechia,Europe,3587871,33550.509,63637,595.075,10159,38685,361.747,275,2.572,18
Belgium,Europe,3557314,30872.923,32659,283.438,3,30179,261.915,126,1.094,0
Peru,Americas,3516264,10664.441,20255,61.431,3860,210538,638.539,1070,3.245,131
Viet Nam,Western Pacific,3443485,3537.636,609112,625.766,122480,40252,41.353,647,0.665,108
Malaysia,Western Pacific,3442736,10636.891,195957,605.441,23100,32749,101.183,359,1.109,75
Canada,Americas,3283537,8699.919,41668,110.402,13991,36537,96.807,496,1.314,160
Republic of Korea,Western Pacific,3273449,6384.827,1115719,2176.198,138993,8170,15.935,662,1.291,112
Portugal,Europe,3262618,31688.489,69440,674.443,4209,21063,204.576,197,1.913,24
Chile,Americas,3061019,16012.695,184564,965.485,19619,42353,221.556,862,4.509,153
Thailand,South-East Asia,2912347,4172.418,162786,233.218,20420,22976,32.917,285,0.408,43
Australia,Western Pacific,2845822,11160.137,144504,566.685,19098,5171,20.279,242,0.949,12
Switzerland,Europe,2789899,32235.958,82466,952.855,28,12651,146.176,36,0.416,0
Denmark,Europe,2764838,47483.265,157904,2711.84,16578,4612,79.206,271,4.654,28
Romania,Europe,2733484,14141.999,62170,321.644,4757,63414,328.08,790,4.087,61
Austria,Europe,2698503,30316.634,188432,2116.96,20751,14213,159.678,176,1.977,28
Sweden,Europe,2441142,23637.095,11829,114.538,0,17142,165.983,30,0.29,0
Greece,Europe,2421664,22593.174,104650,976.343,16263,25860,241.264,443,4.133,75
Iraq,Eastern Mediterranean,2302793,5725.137,9549,23.74,1203,24989,62.127,113,0.281,14
Bangladesh,South-East Asia,1944376,1180.632,7539,4.578,799,29045,17.636,55,0.033,8
Serbia,Europe,1910975,27588.514,23379,337.52,2703,15241,220.032,337,4.865,42
Hungary,Europe,1789581,18317.992,26703,273.33,2037,44051,450.902,621,6.357,102
Jordan,Eastern Mediterranean,1631708,15992.224,49547,485.606,8234,13835,135.596,122,1.196,21
Georgia,Europe,1612319,40417.354,46550,1166.908,6847,16199,406.074,266,6.668,36
Pakistan,Eastern Mediterranean,1509360,683.301,7680,3.477,856,30178,13.662,138,0.062,5
Slovakia,Europe,1458129,26716.067,83670,1533.015,11207,18530,339.51,251,4.599,45
Kazakhstan,Europe,1390670,7406.357,3224,17.17,229,18947,100.907,75,0.399,10
Ireland,Europe,1300422,26194.737,23790,479.208,2277,6497,130.871,45,0.906,22
Norway,Europe,1231764,22948.219,85700,1596.623,1431,1598,29.771,2,0.037,0
Morocco,Eastern Mediterranean,1160975,3145.374,1818,4.925,83,15988,43.316,72,0.195,10
Bulgaria,Europe,1091279,15698.509,18786,270.245,2759,35581,511.848,396,5.697,99
Cuba,Americas,1069862,9445.557,3915,34.565,475,8494,74.992,3,0.026,0
Lebanon,Eastern Mediterranean,1068710,15657.734,19436,284.758,1870,10091,147.844,102,1.494,12
Croatia,Europe,1054794,25991.895,13270,326.995,198,15069,371.325,200,4.928,39
Tunisia,Eastern Mediterranean,998230,8446.249,7747,65.549,476,27784,235.087,192,1.625,11
Nepal,South-East Asia,977076,3353.408,971,3.333,92,11938,40.972,10,0.034,2
Belarus,Europe,919736,9733.355,32154,340.278,2268,6480,68.576,105,1.111,10
Mongolia,Western Pacific,908157,27702.156,5532,168.747,0,2096,63.936,9,0.275,0
Lithuania,Europe,902554,32302.252,30786,1101.826,0,8421,301.386,119,4.259,0
Bolivia (Plurinational State of),Americas,893330,7652.946,2910,24.929,1479,21432,183.603,46,0.394,26
Slovenia,Europe,892620,42589.656,12341,588.827,656,6984,333.228,40,1.909,1
United Arab Emirates,Eastern Mediterranean,879973,8897.242,4715,47.672,605,2301,23.265,5,0.051,0
Uruguay,Americas,840511,24196.21,24807,714.131,2170,6977,200.85,98,2.821,16
Ecuador,Americas,827760,4691.705,7874,44.629,0,35223,199.642,63,0.357,0
Costa Rica,Americas,802472,15752.913,13803,270.96,0,7999,157.024,80,1.57,0
Azerbaijan,Europe,785670,7748.855,10238,100.975,369,9417,92.877,156,1.539,17
Guatemala,Americas,776991,4336.96,19403,108.302,729,16971,94.728,184,1.027,10
Panama,Americas,755262,17504.12,4502,104.339,357,8079,187.241,60,1.391,6
Saudi Arabia,Eastern Mediterranean,745027,2140.029,4631,13.302,653,8998,25.846,12,0.034,2
Singapore,Western Pacific,724424,12382.592,128163,2190.692,13544,1019,17.418,67,1.145,12
Finland,Europe,657443,11898.792,18448,333.883,689,2380,43.075,2,0.036,0
Latvia,Europe,653120,34236.44,63357,3321.163,3616,5224,273.841,111,5.819,9
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,647203,12686.737,11148,218.528,1256,5513,108.068,88,1.725,12
Sri Lanka,South-East Asia,646034,3016.983,6737,31.462,0,16222,75.757,167,0.78,0
Paraguay,Americas,641321,8991.484,5730,80.336,769,18359,257.398,160,2.243,13
Kuwait,Eastern Mediterranean,619894,14515.483,5550,129.959,584,2538,59.43,8,0.187,1
Myanmar,South-East Asia,587891,1080.487,15764,28.973,0,19368,35.597,24,0.044,0
Dominican Republic,Americas,574556,5296.467,2266,20.889,485,4368,40.266,11,0.101,3
Bahrain,Eastern Mediterranean,514883,30259.201,19671,1156.047,2577,1454,85.45,16,0.94,1
Venezuela (Bolivarian Republic of),Americas,514795,1810.367,3722,13.089,1368,5633,19.809,24,0.084,5
Republic of Moldova,Europe,502386,12453.907,5410,134.111,586,11228,278.337,92,2.281,12
Libya,Eastern Mediterranean,494446,7195.823,7694,111.973,898,6261,91.118,60,0.873,11
Estonia,Europe,494430,37203.832,26441,1989.577,0,2236,168.25,55,4.139,0
Egypt,Eastern Mediterranean,483771,472.735,12311,12.03,1523,24074,23.525,268,0.262,34
