"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","405586592.178771","487709497.206704","596648044.692737","695530726.256983","764804469.273743","872067039.106145","958659217.877095","1083240223.46369","1245810055.86592","1320670391.06145","1379888268.15642","1531843575.41899","1665363128.49162","1722905027.93296","1873184357.5419","1896648044.69274","1962011173.18436","2044134078.21229","2254748603.35196","2359776536.31285","2469832402.23464","2677653631.28492","2843016759.77654","2553631284.9162","2453631284.9162","2637988826.81564","2615083798.88268","2727932960.89385","2791061452.51397","2963128491.62011","2983798882.68156","3092178770.94972","3276187709.49721","3395793854.7486","2610038938.54749","3126019385.47486","",
"Africa Eastern and Southern","AFE","GDP (current US$)","NY.GDP.MKTP.CD","21125015452.1973","21616228139.0375","23506279899.9665","28048360188.2788","25920665259.89","29472103269.7419","32014368121.3717","33269509510.4599","36327785494.9277","41638967621.0007","44629891648.9704","49173371528.9409","53123459911.6505","69482723443.6538","85380645042.2438","90835426418.4757","90212747243.3221","102240575582.945","116084638702.251","134256827127.362","171217790780.757","175859256874.359","168095657215.23","175564912386.053","160646748724.36","136759437909.949","153050335915.693","186658478814.26","204765985926.278","218241607366.27","254062093241.871","276856728335.501","246088124935.718","242926405780.188","239610677916.949","270327154574.644","269490833464.816","283446224788.413","266652333830.507","263024788889.788","284759318602.866","259643121973.102","266529432166.377","354176768091.407","440481795990.95","513941625353.73","577586931666.752","662868036074.349","710536227816.537","721901168421.28","863519541417.774","967824566958.791","975354777362.368","985987130726.701","1006526390112.83","927348469903.115","885176429223.509","1021043200767.01","1007196197587.41","1000834077088.55","927593321647.664","1081998139192.47","1169483734191.46",
"Afghanistan","AFG","GDP (current US$)","NY.GDP.MKTP.CD","537777811.111111","548888895.555556","546666677.777778","751111191.111111","800000044.444444","1006666637.77778","1399999966.66667","1673333417.77778","1373333366.66667","1408888922.22222","1748886595.55556","1831108971.11111","1595555475.55556","1733333264.44444","2155555497.77778","2366666615.55556","2555555566.66667","2953333417.77778","3300000108.88889","3697940409.61098","3641723321.99546","3478787909.09091","","","","","","","","","","","","","","","","","","","","","3854235264.37171","4539496562.95373","5220825048.64637","6226198934.83329","6971383338.70803","9715765105.48016","10249770318.5697","12154835707.8987","15633843661.8051","18190413831.9037","20203572959.5023","20564485419.1684","20550582746.8448","19998143635.873","18019554403.4503","18896353155.8839","18418860354.4238","18904502222.2108","20143451705.7548","14583135236.5744","",
"Africa Western and Central","AFW","GDP (current US$)","NY.GDP.MKTP.CD","10447637852.9182","11173212080.394","11990534017.873","12727688165.4505","13898109284.018","14929792387.5151","15910837741.9678","14510579888.7207","14968235781.9644","16979315745.3914","23596163865.3182","20936358634.3274","25386169423.2783","31975594564.7119","44416677334.5674","51667190241.5496","62351622299.6098","65595122955.5949","71496496574.3279","88948338390.3936","112439126385.111","211338060014.605","187448724919.927","138384182006.548","114516348920.8","116776995132.665","107886511308.918","110728825941.601","109438851253.754","102254998562.584","122387353859.461","118039698015.641","118893094121.79","99272180411.2503","86636400265.8363","108690885030.356","126287285162.712","127602388366.019","130678128885.175","138085971819.806","140945759313.811","148529518712.343","177201164643.36","205214466071.124","254264799898.509","310889578636.228","396921040009.472","465485534968.535","567791156729.129","508362731366.626","598521555565.839","682015858791.681","737589473577.072","833948054767.438","894322482190.281","768644740597.116","691363412188.46","684898755570.717","767025741475.038","822538393591.447","786460035395.026","844459722152.991","877863284874.068",
"Angola","AGO","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","5930503400.96263","5550483035.96497","5550483035.96497","5784341596.36339","6131475065.17815","7554065410.121","7072536108.69711","8084412414.26566","8769836768.83482","10201780976.6696","11229515599.3048","12704558516.5916","15114352005.3033","11051939101.56","3390500000","5561222222.22222","7526963963.96396","7648377412.83277","6506229607.29432","6152922942.98032","9129594818.60749","8936079252.77131","15285592487.4237","17812704626.2324","23552057820.4599","36970901025.2032","52381025105.2177","65266415706.9741","88538664888.1983","70307196477.0815","81699526880.8079","109436566876.419","124998210652.243","133401582620.494","137244439121.374","87219300384.5072","49840491178.1518","68972769395.6274","77792944471.9494","69309110145.7687","50241368243.6314","65685435100.4986","106713618735.434",
"Albania","ALB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","1857338011.85488","1897050133.42015","2097326250","2080796250","2051236250","2253090000","2028553750","1099559027.77778","652174990.837304","1185315468.46295","1880950857.78702","2392764853.42107","3199640825.62258","2258513974.0968","2545964540.88383","3212121650.97755","3480355258.04122","3922100793.5403","4348068242.19512","5611496257.14231","7184685781.51876","8052077209.3737","8896074996.35876","10677324872.8286","12881352878.2501","12044205572.4342","11926926654.0521","12890760272.5584","12319834233.2904","12776224537.2743","13228147516.1168","11386853143.152","11861199830.8396","13019726211.7369","15156424061.9815","15401826080.5183","15162734205.2462","17930565118.8176","18882095517.8768",
"Andorra","AND","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","78617622.6156681","89406587.6603222","113414399.179807","150841573.45039","186557164.008677","220112879.759613","227284061.472147","253998001.243161","308020288.906308","411548365.741102","446377571.45778","388982990.468389","375914806.528782","327849981.484634","330073057.021977","346742876.30271","481996191.303733","611300147.254444","721425971.769055","795489464.025027","1028989393.70295","1106891024.78653","1209992649.56688","1007090915.05999","1017544675.49713","1178745314.32635","1224023415.65326","1180646068.29262","1211953953.56347","1239840269.71814","1429048105.66618","1546912331.8807","1755989899.29591","2361635782.06019","2895047587.11888","3159826891.50873","3456265061.72065","3952397734.85484","4085781938.51652","3674188228.95025","3449925738.83342","3629133574.51365","3188652765.29297","3193512950.01572","3271685596.5215","2789881258.60547","2896610479.86779","3000162081.22356","3218419896.93327","3155149347.92151","2891001149.40074","3325145406.77109","3352032737.0391",
"Arab World","ARB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","34715404210.8531","37827652252.0007","42768536550.7033","49428519673.4566","58935857748.5339","74780454402.0878","142137633612.979","157069227730.645","195513756716.267","225676459936.297","249608263403.046","337961752414.979","459804598569.462","474812142540.095","444575870914.343","418462069813.764","425899415741.843","419485435098.32","406982702169.503","440607629311.648","424896194402.896","455822667744.982","644062569659.784","471800078473.107","473811268023.86","482764256146.684","507764942792.863","556046395850.067","614186085021.475","662308062161.075","649192024190.977","717469440493.503","820185610129.239","802881110720.163","807961558719.847","893818030124.46","1062736962989.39","1304401465632.94","1545539138979.41","1797932187931.83","2263028942886.32","1987053424430.17","2334637959849.48","2555979378991.65","2801697577805.59","2859669252729.58","2905732745187.01","2554156134622.59","2537536661584.81","2637111521998.13","2843476105063.8","2868890920845.12","2533377484136.87","2928455523439.88","3557557256270.59",
"United Arab Emirates","ARE","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","14720728252.2517","19213156353.498","24871775164.6043","23775765254.4393","31225660993.0986","43599160062.0924","49333424148.5517","46622718617.9849","42803323356.7974","41807954240.6484","40603650231.5445","33943612094.7971","36384908744.2114","36275674203.2144","41464995913.9199","50701443748.2975","51552165622.4462","54239171887.769","55625170253.337","59305093979.842","65743666575.8649","73571233996.1863","78839008444.5655","75674336283.1858","84445473110.9598","104337372362.151","103311640571.818","109816201497.617","124346358066.712","147824370319.946","180617467964.602","222116541865.214","257916133424.098","315474615738.598","253547358747.447","289787452661.675","350666058379.85","384610125391.423","400218529748.128","414105366752.893","370275469571.137","369255326235.534","390516804029.952","427049432157.931","417989721742.682","349473015330.157","415021590687.543","507534921715.453",
"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD","","","24450604877.6081","18272123664.4715","25605249381.7597","28344705966.6389","28630474727.9023","24256667553.2569","26436857247.4982","31256284543.6155","31584210365.5447","33293199095.4881","34733000536.2862","52544000116.9037","72436777342.4554","52438647921.9226","51169499892.1722","56781000101.0848","89049453088.3282","69252328951.6441","76961923741.0701","78676842366.5529","84307486836.724","103979106777.911","116915052107.031","88150891728.1064","105872372613.857","108810885301.253","126890235049.092","76629728760.123","141352630146.731","189719984268.485","228778994288.214","236741715015.015","257440000000","258031750000","272149750000","292859000000","298948250000","283523000000","284203750000","268696750000","97724004251.8602","127586973492.177","164657930452.787","198737095012.282","232557260817.308","287530508430.568","361558037110.419","332976484577.619","423627422092.49","530158176673.789","545982375701.128","552025140252.246","526319673731.638","594749285413.212","557532317363.451","643628396190.388","524819898586.906","447754686715.081","385540406815.599","487227125385.641","632770284408.51",
